Product_ID,SKU,Category,Brand,Sub_Brand,Product_Name,Presentation,Pack_Quantity,Product_Description,Ingredients_List,Unit_Price,Year,Month,Units_Sold,Total_Sales_Value
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,1,193,1096.24
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,2,184,1045.12
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,3,0,0.0
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,4,0,0.0
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,5,214,1215.52
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,6,158,897.44
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,7,169,959.92
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,8,122,692.96
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,9,116,658.88
1,DETARI0001,Detergents and Cleaning,Ariel,Ariel Regular,Ariel Regular 32 oz,32 oz,1,Advanced stain-fighting technology with a long-lasting fresh scent,"Water, Sodium Laureth Sulfate, Linear Alkylbenzene Sulfonate, Sodium Citrate, Glycerin, Sodium Chloride, Fragrance, Enzymes (Protease, Amylase, Mannanase), Optical Brighteners, Preservatives (Methylisothiazolinone)",5.68,2020,10,180,1022.4
